"Story","Title","Result","Date","Stability","Duration (s)"
"Course","POST - As instructor Create new Course","SUCCESS","2022-12-23T17:35:18.1681412+07:00[Asia/Jakarta]","0.0","6.6"
"Course","DEL - As instructor Delete Course","FAILURE","2022-12-23T17:35:24.7810352+07:00[Asia/Jakarta]","0.0","0.7"
"Course","GET - As instructor get all course","SUCCESS","2022-12-23T17:35:25.4885943+07:00[Asia/Jakarta]","0.0","0.3"
"Course","GET - As instructor get course ID","SUCCESS","2022-12-23T17:35:25.8014009+07:00[Asia/Jakarta]","0.0","0.53"
"Course","PUT - As instructor update course","SUCCESS","2022-12-23T17:35:26.337067+07:00[Asia/Jakarta]","0.0","1.3"
