"Story","Title","Result","Date","Stability","Duration (s)"
"Category","DEL - Delete Category","FAILURE","2022-12-23T17:35:23.8316278+07:00[Asia/Jakarta]","0.0","0.43"
"Course","DEL - As instructor Delete Course","FAILURE","2022-12-23T17:35:24.7810352+07:00[Asia/Jakarta]","0.0","0.7"
