"Story","Title","Result","Date","Stability","Duration (s)"
"Manage Costumer who enrolled in the course","GET - Enroll costumer","SUCCESS","2022-12-23T17:35:18.1421571+07:00[Asia/Jakarta]","0.0","5.77"
"Manage Costumer who enrolled in the course","PUT - Update enroll","SUCCESS","2022-12-23T17:35:23.9565458+07:00[Asia/Jakarta]","0.0","0.35"
